RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,savings,,,,interest,,
1182,15624428,Longo,651,Germany,Female,24,7,40224.7,1,1,1,178341.33,0,-138116.63,138116.63,8917.0665,129199.5635,89170.665,-48945.965,-2447.29825
1183,15755638,Mancini,673,France,Female,43,5,168069.73,1,1,1,146992.24,1,21077.49,-21077.49,7349.612,-28427.102,73496.12,94573.61,4728.6805
1184,15600992,Madukaego,652,France,Male,36,1,0,2,1,1,151314.98,0,-151314.98,151314.98,7565.749,143749.231,75657.49,-75657.49,-3782.8745
1185,15755649,Winter-Irving,584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0,37622.93,-37622.93,4645.792,-42268.722,46457.92,84080.85,4204.0425
1186,15795228,Stewart,756,France,Male,37,3,132623.6,1,1,1,58974,0,73649.6,-73649.6,2948.7,-76598.3,29487,103136.6,5156.83
1187,15589257,Grant,670,France,Female,35,3,103465.02,2,1,1,174627.06,0,-71162.04,71162.04,8731.353,62430.687,87313.53,16151.49,807.5745
1188,15719302,Brennan,765,France,Female,50,9,126547.8,1,1,1,79579.94,1,46967.86,-46967.86,3978.997,-50946.857,39789.97,86757.83,4337.8915
1189,15639882,She,528,France,Male,30,2,128262.72,2,1,0,50771.16,0,77491.56,-77491.56,2538.558,-80030.118,25385.58,102877.14,5143.857
1190,15791279,Murray,701,France,Male,40,5,169742.64,1,1,1,153537.55,1,16205.09,-16205.09,7676.8775,-23881.9675,76768.775,92973.865,4648.69325
1191,15636935,Rischbieth,797,France,Female,29,1,0,2,1,1,132975.39,0,-132975.39,132975.39,6648.7695,126326.6205,66487.695,-66487.695,-3324.38475
1192,15686909,Lung,639,Germany,Male,27,3,150795.81,1,0,1,85208.93,0,65586.88,-65586.88,4260.4465,-69847.3265,42604.465,108191.345,5409.56725
1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,-40359.1,40359.1,8510.741,31848.359,85107.41,44748.31,2237.4155
1194,15779947,Thomas,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,45483.29,-45483.29,5030.757,-50514.047,50307.57,95790.86,4789.543
1195,15573769,Fiorentini,764,France,Female,24,7,0,2,1,0,186105.99,0,-186105.99,186105.99,9305.2995,176800.6905,93052.995,-93052.995,-4652.64975
1196,15578866,Hughes,676,France,Female,43,2,0,1,1,1,55119.53,0,-55119.53,55119.53,2755.9765,52363.5535,27559.765,-27559.765,-1377.98825
1197,15739131,Whitworth,718,Germany,Male,28,4,65643.3,1,1,0,28760.99,0,36882.31,-36882.31,1438.0495,-38320.3595,14380.495,51262.805,2563.14025
1198,15813444,McIntosh,590,Spain,Female,34,6,0,2,1,0,171021.44,0,-171021.44,171021.44,8551.072,162470.368,85510.72,-85510.72,-4275.536
1199,15678058,Ayers,584,France,Male,38,9,104584.16,1,1,0,176678.72,0,-72094.56,72094.56,8833.936,63260.624,88339.36,16244.8,812.24
1200,15769169,Trentino,645,France,Male,41,7,0,1,0,1,28667.56,0,-28667.56,28667.56,1433.378,27234.182,14333.78,-14333.78,-716.689
1201,15804602,Boyd,772,Germany,Male,30,6,99785.28,2,0,0,197238.03,0,-97452.75,97452.75,9861.9015,87590.8485,98619.015,1166.265,58.31325
1202,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1,-12339.46,12339.46,6999.734,5339.726,69997.34,57657.88,2882.894
1203,15724334,Alekseyeva,529,France,Male,22,5,0,1,1,0,151169.83,0,-151169.83,151169.83,7558.4915,143611.3385,75584.915,-75584.915,-3779.24575
1204,15569451,Miller,463,France,Male,35,2,101257.16,1,1,1,118113.64,0,-16856.48,16856.48,5905.682,10950.798,59056.82,42200.34,2110.017
1205,15650098,Baranova,630,France,Female,40,7,0,2,1,1,34453.17,0,-34453.17,34453.17,1722.6585,32730.5115,17226.585,-17226.585,-861.32925
1206,15724307,Mitchell,780,France,Male,76,10,121313.88,1,0,1,64872.33,0,56441.55,-56441.55,3243.6165,-59685.1665,32436.165,88877.715,4443.88575
1207,15599268,Yobachi,584,Spain,Male,32,5,0,2,1,0,10956.82,0,-10956.82,10956.82,547.841,10408.979,5478.41,-5478.41,-273.9205
1208,15594864,Huang,752,Germany,Male,30,4,81523.38,1,1,1,36885.85,0,44637.53,-44637.53,1844.2925,-46481.8225,18442.925,63080.455,3154.02275
1209,15616451,Genovese,697,France,Female,47,6,128252.66,1,1,1,168053.4,0,-39800.74,39800.74,8402.67,31398.07,84026.7,44225.96,2211.298
1210,15715667,Sorokina,850,France,Female,32,7,0,2,0,0,155227,0,-155227,155227,7761.35,147465.65,77613.5,-77613.5,-3880.675
1211,15658969,Gray,711,France,Male,51,7,0,3,1,0,38409.79,1,-38409.79,38409.79,1920.4895,36489.3005,19204.895,-19204.895,-960.24475
1212,15738174,Ervin,452,France,Female,32,5,0,2,0,1,75279.39,0,-75279.39,75279.39,3763.9695,71515.4205,37639.695,-37639.695,-1881.98475
1213,15813590,Vance,610,Spain,Male,42,6,0,2,1,0,158302.59,1,-158302.59,158302.59,7915.1295,150387.4605,79151.295,-79151.295,-3957.56475
1214,15624229,Noble,694,France,Female,22,4,0,2,1,1,11525.72,0,-11525.72,11525.72,576.286,10949.434,5762.86,-5762.86,-288.143
1215,15674148,Milanesi,579,Spain,Male,33,6,0,1,1,0,94993.04,1,-94993.04,94993.04,4749.652,90243.388,47496.52,-47496.52,-2374.826
1216,15625080,Parkin,745,Spain,Female,54,8,0,1,1,0,173912.29,1,-173912.29,173912.29,8695.6145,165216.6755,86956.145,-86956.145,-4347.80725
1217,15682528,Cremonesi,572,France,Male,33,5,0,1,0,1,41139.05,0,-41139.05,41139.05,2056.9525,39082.0975,20569.525,-20569.525,-1028.47625
1218,15696900,Burns,505,Germany,Male,29,3,145541.56,2,1,1,58019.95,0,87521.61,-87521.61,2900.9975,-90422.6075,29009.975,116531.585,5826.57925
1219,15730038,Docherty,706,France,Female,23,5,0,1,0,0,164128.41,1,-164128.41,164128.41,8206.4205,155921.9895,82064.205,-82064.205,-4103.21025
1220,15812272,Ugonna,693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1,77603.45,-77603.45,2349.9065,-79953.3565,23499.065,101102.515,5055.12575
1221,15654654,L?,725,Germany,Female,33,7,115182.84,2,1,1,177279.41,0,-62096.57,62096.57,8863.9705,53232.5995,88639.705,26543.135,1327.15675
1222,15697625,Bevan,791,France,Male,37,2,163789.49,2,1,0,75832.53,0,87956.96,-87956.96,3791.6265,-91748.5865,37916.265,125873.225,6293.66125
1223,15616280,Hsia,536,France,Male,46,1,65733.41,1,1,0,61094.53,0,4638.88,-4638.88,3054.7265,-7693.6065,30547.265,35186.145,1759.30725
1224,15654229,O'Neill,699,Spain,Male,47,1,0,2,0,1,30117.44,0,-30117.44,30117.44,1505.872,28611.568,15058.72,-15058.72,-752.936
1225,15628298,Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0,-50741.01,50741.01,8961.356,41779.654,89613.56,38872.55,1943.6275
1226,15733387,Pham,707,Spain,Female,53,6,109663.47,1,1,1,52110.45,0,57553.02,-57553.02,2605.5225,-60158.5425,26055.225,83608.245,4180.41225
1227,15775572,Bergamaschi,531,Germany,Female,42,6,88324.31,2,1,0,75248.75,0,13075.56,-13075.56,3762.4375,-16837.9975,37624.375,50699.935,2534.99675
1228,15613844,Murphy,557,France,Female,28,7,146445.24,2,1,0,184317.74,0,-37872.5,37872.5,9215.887,28656.613,92158.87,54286.37,2714.3185
1229,15578515,Osinachi,659,France,Female,38,3,0,2,1,0,158553.1,0,-158553.1,158553.1,7927.655,150625.445,79276.55,-79276.55,-3963.8275
1230,15607598,Muravyov,575,Spain,Female,31,6,0,2,1,1,95686.42,0,-95686.42,95686.42,4784.321,90902.099,47843.21,-47843.21,-2392.1605
1231,15742480,Igwebuike,775,Germany,Male,36,2,109949.05,2,0,1,71682.54,0,38266.51,-38266.51,3584.127,-41850.637,35841.27,74107.78,3705.389
1232,15749482,Zack,772,Spain,Male,30,4,78653.05,1,1,0,1790.48,0,76862.57,-76862.57,89.524,-76952.094,895.24,77757.81,3887.8905
1233,15607537,Crawford,587,Germany,Male,46,9,107850.82,1,1,0,139431,1,-31580.18,31580.18,6971.55,24608.63,69715.5,38135.32,1906.766
1234,15575410,Chidiegwu,667,Germany,Female,39,4,83765.35,2,1,0,118358.54,0,-34593.19,34593.19,5917.927,28675.263,59179.27,24586.08,1229.304
1235,15684865,Lucchesi,771,France,Female,66,7,143773.07,1,1,1,130827.88,0,12945.19,-12945.19,6541.394,-19486.584,65413.94,78359.13,3917.9565
1236,15600700,Pan,523,Germany,Male,63,6,116227.27,1,1,1,119404.63,0,-3177.36,3177.36,5970.2315,-2792.8715,59702.315,56524.955,2826.24775
1237,15774155,Trevisani,662,Germany,Male,33,0,103471.52,1,1,1,162703,0,-59231.48,59231.48,8135.15,51096.33,81351.5,22120.02,1106.001
1238,15634267,Yudin,717,France,Male,42,5,0,2,1,0,172665.21,0,-172665.21,172665.21,8633.2605,164031.9495,86332.605,-86332.605,-4316.63025
1239,15619626,Wade,746,France,Male,24,3,137492.35,2,0,1,170142.09,0,-32649.74,32649.74,8507.1045,24142.6355,85071.045,52421.305,2621.06525
1240,15660422,Chung,569,France,Male,28,7,0,2,1,0,73977.23,0,-73977.23,73977.23,3698.8615,70278.3685,36988.615,-36988.615,-1849.43075
1241,15617934,Septimus,579,France,Male,36,9,129829.59,1,1,1,60906.12,0,68923.47,-68923.47,3045.306,-71968.776,30453.06,99376.53,4968.8265
1242,15760774,Hargraves,519,France,Female,21,1,146329.57,2,1,1,194867.27,0,-48537.7,48537.7,9743.3635,38794.3365,97433.635,48895.935,2444.79675
1243,15813132,Chukwukadibia,696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0,-79688.86,79688.86,9685.828,70003.032,96858.28,17169.42,858.471
1244,15593331,Sidorov,693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0,131947.34,-131947.34,731.6675,-132679.0075,7316.675,139264.015,6963.20075
1245,15616709,Bunton,587,Germany,Female,38,0,132122.42,2,0,0,31730.32,0,100392.1,-100392.1,1586.516,-101978.616,15865.16,116257.26,5812.863
1246,15658052,Cameron,626,France,Female,44,10,81553.93,1,1,0,20063.63,1,61490.3,-61490.3,1003.1815,-62493.4815,10031.815,71522.115,3576.10575
1247,15721189,Kung,666,France,Female,66,7,0,2,1,1,99792.82,0,-99792.82,99792.82,4989.641,94803.179,49896.41,-49896.41,-2494.8205
1248,15711288,Hay,512,France,Male,24,6,0,2,1,0,37654.31,0,-37654.31,37654.31,1882.7155,35771.5945,18827.155,-18827.155,-941.35775
1249,15770030,Conti,689,Spain,Female,28,3,0,2,1,1,192449.02,0,-192449.02,192449.02,9622.451,182826.569,96224.51,-96224.51,-4811.2255
1250,15803681,Sims,803,France,Female,26,4,0,2,1,1,181208.47,0,-181208.47,181208.47,9060.4235,172148.0465,90604.235,-90604.235,-4530.21175
1251,15702789,Carter,548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0,20049.1,-20049.1,7758.2805,-27807.3805,77582.805,97631.905,4881.59525
1252,15814930,McGregor,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1,4030.33,-4030.33,6075.209,-10105.539,60752.09,64782.42,3239.121
1253,15658306,Lo,693,France,Male,68,4,97705.99,1,1,1,61569.07,0,36136.92,-36136.92,3078.4535,-39215.3735,30784.535,66921.455,3346.07275
1254,15699523,Chu,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0,3547.94,-3547.94,6163.4855,-9711.4255,61634.855,65182.795,3259.13975
1255,15610383,Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,1,15598.29,-15598.29,1563.607,-17161.897,15636.07,31234.36,1561.718
1256,15615032,Peng,624,Spain,Male,46,3,0,2,1,1,62825.03,0,-62825.03,62825.03,3141.2515,59683.7785,31412.515,-31412.515,-1570.62575
1257,15781989,Drake-Brockman,733,France,Male,42,9,120094.93,1,1,0,184056.45,0,-63961.52,63961.52,9202.8225,54758.6975,92028.225,28066.705,1403.33525
1258,15647402,Wan,628,France,Female,38,3,0,2,1,1,48924.73,0,-48924.73,48924.73,2446.2365,46478.4935,24462.365,-24462.365,-1223.11825
1259,15740494,Cameron,633,France,Female,33,3,0,2,1,0,191111.02,0,-191111.02,191111.02,9555.551,181555.469,95555.51,-95555.51,-4777.7755
1260,15701265,Tretiakov,559,Germany,Female,36,1,104356.94,2,0,1,54184.06,0,50172.88,-50172.88,2709.203,-52882.083,27092.03,77264.91,3863.2455
1261,15743532,Ball,704,Germany,Male,27,5,147004.34,1,1,0,64381.33,1,82623.01,-82623.01,3219.0665,-85842.0765,32190.665,114813.675,5740.68375
1262,15794870,Sal,744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0,-5747.69,5747.69,3938.543,1809.147,39385.43,33637.74,1681.887
1263,15747591,Chung,665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0,56665.76,-56665.76,5838.3395,-62504.0995,58383.395,115049.155,5752.45775
1264,15726557,Lai,638,France,Female,42,7,165679.92,1,0,0,32916.29,0,132763.63,-132763.63,1645.8145,-134409.4445,16458.145,149221.775,7461.08875
1265,15732199,Gether,837,Spain,Male,31,9,104678.62,1,0,1,50972.6,0,53706.02,-53706.02,2548.63,-56254.65,25486.3,79192.32,3959.616
1266,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,1,-5093.24,5093.24,6103.325,-1010.085,61033.25,55940.01,2797.0005
1267,15749050,Justice,548,France,Female,36,3,0,1,1,0,65996.9,0,-65996.9,65996.9,3299.845,62697.055,32998.45,-32998.45,-1649.9225
1268,15781586,Osonduagwuike,837,Germany,Male,38,2,126732.85,1,1,1,79577.38,0,47155.47,-47155.47,3978.869,-51134.339,39788.69,86944.16,4347.208
1269,15617078,Ewing,658,France,Female,44,6,148481.09,1,1,0,130529.13,0,17951.96,-17951.96,6526.4565,-24478.4165,65264.565,83216.525,4160.82625
1270,15723339,Chin,554,France,Female,38,4,137654.05,2,1,1,172629.67,0,-34975.62,34975.62,8631.4835,26344.1365,86314.835,51339.215,2566.96075
1271,15671322,Chiang,724,Germany,Male,30,7,115315.04,1,1,0,15216.53,0,100098.51,-100098.51,760.8265,-100859.3365,7608.265,107706.775,5385.33875
1272,15793854,Ahmed,723,France,Male,42,2,99095.73,1,1,1,17512.53,0,81583.2,-81583.2,875.6265,-82458.8265,8756.265,90339.465,4516.97325
1273,15756539,Marshall,585,Germany,Female,39,7,165610.41,2,0,0,131852.01,0,33758.4,-33758.4,6592.6005,-40351.0005,65926.005,99684.405,4984.22025
1274,15612064,Tsou,474,France,Male,33,5,0,2,1,0,181945.52,1,-181945.52,181945.52,9097.276,172848.244,90972.76,-90972.76,-4548.638
1275,15625916,Chien,562,Spain,Male,32,6,161628.66,1,1,0,91482.5,0,70146.16,-70146.16,4574.125,-74720.285,45741.25,115887.41,5794.3705
1276,15683195,Ubanwa,719,France,Male,32,9,146605.27,1,1,1,77119.45,0,69485.82,-69485.82,3855.9725,-73341.7925,38559.725,108045.545,5402.27725
1277,15690182,Kapustin,635,Germany,Male,37,5,113488.68,1,1,0,95611.74,1,17876.94,-17876.94,4780.587,-22657.527,47805.87,65682.81,3284.1405
1278,15721719,Calabresi,743,France,Male,42,7,77002.2,2,1,1,80428.42,0,-3426.22,3426.22,4021.421,-595.201,40214.21,36787.99,1839.3995
1279,15641690,Hsiao,681,Spain,Male,67,7,0,2,0,1,163714.92,0,-163714.92,163714.92,8185.746,155529.174,81857.46,-81857.46,-4092.873
1280,15634896,Grant,521,France,Female,39,6,0,2,0,1,27375.15,0,-27375.15,27375.15,1368.7575,26006.3925,13687.575,-13687.575,-684.37875
1281,15671590,H?,741,Spain,Male,25,4,0,2,1,1,73873.65,0,-73873.65,73873.65,3693.6825,70179.9675,36936.825,-36936.825,-1846.84125
1282,15779182,Chia,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1,43098.05,-43098.05,6963.324,-50061.374,69633.24,112731.29,5636.5645
1283,15778287,Ugoji,622,France,Male,35,8,0,2,1,1,131772.51,0,-131772.51,131772.51,6588.6255,125183.8845,65886.255,-65886.255,-3294.31275
1284,15609510,Gregory,669,France,Male,45,7,149364.58,1,0,1,173454.07,0,-24089.49,24089.49,8672.7035,15416.7865,86727.035,62637.545,3131.87725
1285,15742229,Mackay,583,France,Male,59,7,127450.14,1,0,1,67552.71,0,59897.43,-59897.43,3377.6355,-63275.0655,33776.355,93673.785,4683.68925
1286,15658532,Nnamutaezinwa,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0,127512.99,-127512.99,1738.2665,-129251.2565,17382.665,144895.655,7244.78275
1287,15590993,Findlay,579,Spain,Male,37,5,152212.88,2,0,0,120219.14,0,31993.74,-31993.74,6010.957,-38004.697,60109.57,92103.31,4605.1655
1288,15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0,71781.51,-71781.51,4510.619,-76292.129,45106.19,116887.7,5844.385
1289,15597239,Ku,548,Spain,Male,39,7,131468.44,1,1,0,164975.82,0,-33507.38,33507.38,8248.791,25258.589,82487.91,48980.53,2449.0265
1290,15688880,Amechi,672,Germany,Male,40,10,102980.44,1,1,0,1285.81,1,101694.63,-101694.63,64.2905,-101758.9205,642.905,102337.535,5116.87675
1291,15813917,Kirk,653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0,59642.51,-59642.51,4183.973,-63826.483,41839.73,101482.24,5074.112
1292,15679611,Andrews,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0,95856.18,-95856.18,1727.437,-97583.617,17274.37,113130.55,5656.5275
1293,15636589,Murray,794,France,Female,41,7,0,2,1,1,74275.08,0,-74275.08,74275.08,3713.754,70561.326,37137.54,-37137.54,-1856.877
1294,15687752,Griffin,641,France,Male,30,2,87505.47,2,0,1,7278.57,0,80226.9,-80226.9,363.9285,-80590.8285,3639.285,83866.185,4193.30925
1295,15584363,Longstaff,824,France,Male,30,0,133634.02,1,1,1,162053.92,0,-28419.9,28419.9,8102.696,20317.204,81026.96,52607.06,2630.353
1296,15737748,McWilliam,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0,-48103.01,48103.01,9966.8315,38136.1785,99668.315,51565.305,2578.26525
1297,15803365,Coffee,653,Spain,Male,55,2,70263.83,1,0,1,62347.71,0,7916.12,-7916.12,3117.3855,-11033.5055,31173.855,39089.975,1954.49875
1298,15793247,Hancock,498,France,Male,34,5,0,2,1,1,91711.66,0,-91711.66,91711.66,4585.583,87126.077,45855.83,-45855.83,-2292.7915
1299,15572360,Clark,683,France,Male,30,10,57657.49,1,0,0,79240.9,0,-21583.41,21583.41,3962.045,17621.365,39620.45,18037.04,901.852
1300,15795166,Creswell,618,Germany,Male,42,8,153572.31,2,1,1,76679.6,0,76892.71,-76892.71,3833.98,-80726.69,38339.8,115232.51,5761.6255
1301,15724620,Dodds,538,France,Male,37,1,134752.08,1,1,0,162511.55,0,-27759.47,27759.47,8125.5775,19633.8925,81255.775,53496.305,2674.81525
1302,15800856,Ewen,643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0,61771.21,-61771.21,1068.044,-62839.254,10680.44,72451.65,3622.5825
1303,15671097,Carter,428,France,Female,31,2,0,2,1,0,54487.43,0,-54487.43,54487.43,2724.3715,51763.0585,27243.715,-27243.715,-1362.18575
1304,15683930,Ch'iu,593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1,80165.48,-80165.48,2696.5525,-82862.0325,26965.525,107131.005,5356.55025
1305,15749004,Tsao,718,France,Female,31,0,118100.59,2,1,0,103165.15,0,14935.44,-14935.44,5158.2575,-20093.6975,51582.575,66518.015,3325.90075
1306,15800434,Burgess,811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1,-69444.41,69444.41,7317.9905,62126.4195,73179.905,3735.495,186.77475
1307,15709117,Fanucci,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1,53205.8,-53205.8,1418.5475,-54624.3475,14185.475,67391.275,3369.56375
1308,15638806,Blackburn,645,Spain,Male,49,2,0,2,0,0,10023.15,0,-10023.15,10023.15,501.1575,9521.9925,5011.575,-5011.575,-250.57875
1309,15662294,Bennett,710,France,Male,33,10,118327.17,2,1,1,192928.82,0,-74601.65,74601.65,9646.441,64955.209,96464.41,21862.76,1093.138
1310,15690079,Boniwell,591,Spain,Male,30,8,124857.69,2,0,0,50485.7,0,74371.99,-74371.99,2524.285,-76896.275,25242.85,99614.84,4980.742
1311,15759317,Vasilieva,748,Germany,Female,27,2,90971.85,1,1,1,131662.47,0,-40690.62,40690.62,6583.1235,34107.4965,65831.235,25140.615,1257.03075
1312,15750497,Longo,850,France,Female,37,7,153147.75,1,1,1,152235.3,0,912.45,-912.45,7611.765,-8524.215,76117.65,77030.1,3851.505
1313,15596181,Kwemto,542,France,Male,38,8,65942.26,1,1,1,68093.23,1,-2150.97,2150.97,3404.6615,-1253.6915,34046.615,31895.645,1594.78225
1314,15576602,Lawrence,809,France,Male,38,3,0,2,1,1,80061.31,0,-80061.31,80061.31,4003.0655,76058.2445,40030.655,-40030.655,-2001.53275
1315,15644833,Duncan,675,France,Male,54,2,0,1,1,0,149583.67,1,-149583.67,149583.67,7479.1835,142104.4865,74791.835,-74791.835,-3739.59175
1316,15734634,Bocharova,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0,93280.92,-93280.92,381.5635,-93662.4835,3815.635,97096.555,4854.82775
1317,15808689,Morres,850,France,Female,31,4,0,2,1,1,33082.81,0,-33082.81,33082.81,1654.1405,31428.6695,16541.405,-16541.405,-827.07025
1318,15720702,Shih,789,France,Male,37,3,0,1,1,0,121883.87,1,-121883.87,121883.87,6094.1935,115789.6765,60941.935,-60941.935,-3047.09675
1319,15665077,Vogel,598,France,Female,43,5,0,3,1,1,100722.72,1,-100722.72,100722.72,5036.136,95686.584,50361.36,-50361.36,-2518.068
1320,15763612,T'an,756,Germany,Male,41,2,124439.49,2,0,1,47093.11,0,77346.38,-77346.38,2354.6555,-79701.0355,23546.555,100892.935,5044.64675
1321,15596493,Wisdom,687,France,Female,47,7,0,2,1,1,177624.01,0,-177624.01,177624.01,8881.2005,168742.8095,88812.005,-88812.005,-4440.60025
1322,15704483,Lorenzo,724,France,Male,40,6,0,2,0,0,106149.48,0,-106149.48,106149.48,5307.474,100842.006,53074.74,-53074.74,-2653.737
1323,15598846,Shahan,700,France,Female,44,2,58781.76,1,1,0,16874.92,0,41906.84,-41906.84,843.746,-42750.586,8437.46,50344.3,2517.215
1324,15629244,Bryant,635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1,104892.85,-104892.85,2728.0395,-107620.8895,27280.395,132173.245,6608.66225
1325,15765537,Liang,687,Germany,Male,26,2,142721.52,1,1,1,153605.75,0,-10884.23,10884.23,7680.2875,3203.9425,76802.875,65918.645,3295.93225
1326,15729975,Chidozie,613,France,Female,46,8,167795.6,1,0,1,44390.38,0,123405.22,-123405.22,2219.519,-125624.739,22195.19,145600.41,7280.0205
1327,15682773,Hayward,781,France,Female,38,3,128345.69,2,1,0,63218.85,0,65126.84,-65126.84,3160.9425,-68287.7825,31609.425,96736.265,4836.81325
1328,15688007,Liu,703,Spain,Male,20,3,165260.98,1,1,1,41626.78,0,123634.2,-123634.2,2081.339,-125715.539,20813.39,144447.59,7222.3795
1329,15574331,Alexeeva,593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1,93468.28,-93468.28,1238.2765,-94706.5565,12382.765,105851.045,5292.55225
1330,15645572,Calabresi,743,France,Female,40,6,0,1,1,0,28280.8,1,-28280.8,28280.8,1414.04,26866.76,14140.4,-14140.4,-707.02
1331,15742854,Lettiere,640,Spain,Female,46,8,0,2,1,0,89043.19,0,-89043.19,89043.19,4452.1595,84591.0305,44521.595,-44521.595,-2226.07975
1332,15575417,Chou,849,Germany,Male,37,7,143452.74,2,1,1,17294.12,0,126158.62,-126158.62,864.706,-127023.326,8647.06,134805.68,6740.284
1333,15796721,Nnamutaezinwa,778,France,Male,38,3,145018.49,2,1,1,126702.41,0,18316.08,-18316.08,6335.1205,-24651.2005,63351.205,81667.285,4083.36425
1334,15734942,Nnamutaezinwa,539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0,69284.1,-69284.1,656.1705,-69940.2705,6561.705,75845.805,3792.29025
1335,15664772,Greece,489,Germany,Male,28,1,79460.98,2,1,1,167973.63,0,-88512.65,88512.65,8398.6815,80113.9685,83986.815,-4525.835,-226.29175
1336,15576683,Yin,568,Spain,Female,43,9,0,1,1,0,125870.79,1,-125870.79,125870.79,6293.5395,119577.2505,62935.395,-62935.395,-3146.76975
1337,15682563,Larionova,618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0,34501.5,-34501.5,4598.6245,-39100.1245,45986.245,80487.745,4024.38725
1338,15650889,Golubev,710,Germany,Female,30,10,133537.1,2,1,0,155593.74,0,-22056.64,22056.64,7779.687,14276.953,77796.87,55740.23,2787.0115
1339,15612108,Norman,625,France,Male,52,5,164978.01,1,1,1,67788.49,0,97189.52,-97189.52,3389.4245,-100578.9445,33894.245,131083.765,6554.18825
1340,15761132,Capon,682,Spain,Male,46,7,128029.72,1,1,1,62615.35,0,65414.37,-65414.37,3130.7675,-68545.1375,31307.675,96722.045,4836.10225
1341,15645511,Chukwudi,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1,-10011.84,10011.84,5370.751,4641.089,53707.51,43695.67,2184.7835
1342,15609824,Fedorov,794,France,Female,41,7,176845.41,3,1,0,166526.26,1,10319.15,-10319.15,8326.313,-18645.463,83263.13,93582.28,4679.114
1343,15640268,Avdeeva,652,Spain,Male,71,4,0,1,1,1,120107.1,0,-120107.1,120107.1,6005.355,114101.745,60053.55,-60053.55,-3002.6775
1344,15645778,Reid,670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0,-106638.76,106638.76,9411.39,97227.37,94113.9,-12524.86,-626.243
1345,15691104,Kennedy,460,Germany,Female,40,6,119507.58,2,1,0,91560.63,1,27946.95,-27946.95,4578.0315,-32524.9815,45780.315,73727.265,3686.36325
1346,15714567,Chan,568,Spain,Female,26,6,0,2,0,0,166495.2,0,-166495.2,166495.2,8324.76,158170.44,83247.6,-83247.6,-4162.38
1347,15777826,Wofford,643,France,Male,30,5,94443.77,1,1,1,165614.4,0,-71170.63,71170.63,8280.72,62889.91,82807.2,11636.57,581.8285
1348,15668445,Mai,521,France,Male,37,2,0,2,1,1,86372.24,0,-86372.24,86372.24,4318.612,82053.628,43186.12,-43186.12,-2159.306
1349,15576162,King,615,France,Male,32,7,92199.84,1,1,1,2755.53,0,89444.31,-89444.31,137.7765,-89582.0865,1377.765,90822.075,4541.10375
1350,15778135,T'ao,575,Spain,Male,43,3,0,1,1,0,83594.51,0,-83594.51,83594.51,4179.7255,79414.7845,41797.255,-41797.255,-2089.86275
1351,15613141,Hsu,717,France,Female,41,3,135756.96,1,1,1,103706.41,0,32050.55,-32050.55,5185.3205,-37235.8705,51853.205,83903.755,4195.18775
1352,15635435,White,648,France,Female,54,9,120633.42,1,0,0,5924.38,1,114709.04,-114709.04,296.219,-115005.259,2962.19,117671.23,5883.5615
1353,15596552,Stephens,535,Germany,Male,48,5,134542.73,1,1,1,58203.67,1,76339.06,-76339.06,2910.1835,-79249.2435,29101.835,105440.895,5272.04475
1354,15623644,Frolov,626,Spain,Male,29,7,0,2,1,0,49361.84,0,-49361.84,49361.84,2468.092,46893.748,24680.92,-24680.92,-1234.046
